status,priority,target_type,target_name,country,why_relevant,route,next_step,asset,owner_approval,sent,reply,notes
not_started,1,angel_believer,TBD,US_UK_EU,understands solo founder AI infrastructure,believer_conversation,identify real person,believer_packet,false,false,,
not_started,2,paid_pilot_partner,TBD,Dubai_UAE,premium service operator with inquiry and follow-up pain,paid_pilot,prepare personalized pilot angle,canva_deck,false,false,,
not_started,3,agency_owner,TBD,US_UK_EU,has AI ops and client workflow pain,paid_pilot,identify agency owner,believer_packet,false,false,,
not_started,4,clinic_operator,TBD,Turkey,clinic and beauty tourism lead flow pain,paid_pilot,identify clinic operator,market_map,false,false,,
not_started,5,tourism_operator,TBD,Greece,tourism inquiry follow-up and booking pain,paid_pilot,identify operator,market_map,false,false,,
not_started,6,accelerator,TBD,Germany,structured founder support route,accelerator,check eligibility,believer_packet,false,false,,
not_started,7,grant_route,TBD,Germany_EU,non-dilutive support possibility,grant,check eligibility,believer_packet,false,false,,
not_started,8,strategic_sponsor,TBD,EU,brand can sponsor workflow experiment,sponsor,identify sponsor fit,canva_deck,false,false,,
not_started,9,founder_community,TBD,Online,reachable believer network,community,prepare intro,believer_packet,false,false,,
not_started,10,no_code_founder,TBD,US_EU,understands automation pain,believer_conversation,identify founder,believer_packet,false,false,,
not_started,11,crm_agency,TBD,US_UK_EU,CRM implementation pain maps to Octomind,paid_pilot,identify agency,one_page_memo,false,false,,
not_started,12,ai_tool_reseller,TBD,EU,needs operational layer around tools,strategic_partner,identify reseller,one_page_memo,false,false,,
not_started,13,women_founder_network,TBD,Germany_EU,may support founder route,community,find contact,believer_packet,false,false,,
not_started,14,migrant_founder_network,TBD,Germany_EU,may support founder route,community,find contact,believer_packet,false,false,,
not_started,15,innovation_hub,TBD,Germany,local founder ecosystem route,accelerator,find program contact,believer_packet,false,false,,
not_started,16,luxury_service_operator,TBD,Dubai_UAE,high-ticket service lead flow,paid_pilot,prepare pilot angle,canva_deck,false,false,,
not_started,17,boutique_hotel_group,TBD,Greece,tourism booking inquiry leakage,paid_pilot,prepare hospitality angle,market_map,false,false,,
not_started,18,beauty_group,TBD,US_UK_Dubai,beauty booking leakage,paid_pilot,prepare beauty audit angle,beauty_vertical,false,false,,
not_started,19,public_innovation_contact,TBD,EU,potential grant/support route,grant,check route,believer_packet,false,false,,
not_started,20,operator_investor,TBD,US_EU,operator may fund and advise,believer_conversation,identify operator,canva_deck,false,false,,
