status,priority,name,market,target_type,why_relevant,route,source_hint,next_action,approval_required,sent,reply
research_only,1,Hub71,Abu Dhabi UAE,startup_ecosystem,AI/startup ecosystem route for serious founder finance,ecosystem_application,official site / current program pages,verify application route and fit,true,false,
research_only,2,Dubai Chambers,Dubai UAE,business_ecosystem,access point to Dubai business community and digital economy routes,ecosystem_network,official site / chamber pages,verify SME/startup/member route,true,false,
research_only,3,Dubai Chamber of Digital Economy,Dubai UAE,digital_economy_ecosystem,relevant for digital company and AI operations angle,ecosystem_network,official Dubai Chambers structure,verify programs and contact route,true,false,
research_only,4,Dubai Science Park,Dubai UAE,business_community,possible clinic/health/beauty/life-science ecosystem discovery route,ecosystem_network,official site / community pages,verify business community route,true,false,
research_only,5,Chalhoub Group,Dubai UAE,premium_beauty_luxury_operator,premium beauty and luxury retail ecosystem reference,paid_pilot_or_partner,company site / public profile,study only then identify reachable innovation/contact route,true,false,
research_only,6,Letswork,Dubai UAE,workspace_platform,operator/platform with hospitality and workspace partner workflows,paid_pilot_or_partner,company site / public profile,study partner/workflow angle,true,false,
research_only,7,HealthTürkiye / USHAS,Turkey,health_tourism_ecosystem,reference route for Turkey health tourism and clinic ecosystem,market_reference,official HealthTürkiye / USHAS pages,verify official partner/contact route,true,false,
research_only,8,Turkish clinic operator TBD,Turkey,clinic_operator,beauty/dental/hair transplant lead flow could fit paid pilot,paid_pilot,verified clinic directory needed,identify 5 named clinics with public business contacts,true,false,
research_only,9,Discover Greece / Marketing Greece,Greece,tourism_platform,reference for Greek tourism and multilingual market channel,market_reference,official site / public profile,study tourism operator ecosystem,true,false,
research_only,10,Greek Travel Pages,Greece,tourism_directory,possible discovery source for tourism operators and B2B tourism ecosystem,market_reference,official directory,verify directory usage and select reachable operators,true,false,
research_only,11,Boutique hotel operator TBD,Greece,hospitality_operator,inquiry and booking leakage could fit paid pilot,paid_pilot,verified hotel/operator directory needed,identify 5 named operators,true,false,
research_only,12,Premium beauty operator TBD,Dubai UAE,beauty_operator,booking/DM/follow-up leakage could fit paid pilot,paid_pilot,verified public business listing needed,identify 5 named operators,true,false,
